,marketSegment,name,slug,ticker,totalSupply
58,IoT,Xensor,xensor,XSR,4800000000
59,Ethereum,Stake DAO,stake-dao,SDT,41600000
60,DeFi,FiatDex Gateway,fiatdex-gateway,FDG,
61,DeFi,Zerion,zerion,ZRN,
62,Exchange,ALP Coin,alp-coin,ALP,100000000
63,DeFi,Nuo Network,nuo,NUO,
64,DeFi,UMA,uma,UMA,108858566.96540223
65,Advertising,BenePit Protocol,benepit-protocol,BNP,30000000000
66,Ethereum,SSV Network,ssv-network,SSV,11012871
67,DeFi,Set Protocol,set-protocol,SPX,
68,Cryptocurrency,Litecoin,litecoin,LTC,84000000
69,Privacy,Typhoon Cash,typhoon-cash,PHOON,30000
70,,Uniswap V2: WBTC-USDC,uniswap_wbtc_usdc_lp,UNI-V2 WBTC/USDC LP,
71,Cryptocurrency,MimbleWimbleCoin,mimblewimblecoin,MWC,10877531.3069404
72,DeFi,Razor Network,razor,RZR,
73,,Uniswap V2: BAT,uniswap_bat_eth_lp,UNI-V2 BAT/ETH LP,
74,,Snax,snax,SNAX,
75,Blockchain Service,PegaSys,pegasys,PSS,
76,DeFi,Chintai,chintai,CHN,
77,Privacy,Bitcoin Diamond,bitcoin-diamond,BCD,189492897.953
78,,Coinzo Token,coinzo,CNZ,
79,DeFi,Worbli,worbli,WBL,
80,DeFi,MARKET Protocol,market-protocol,MPX,
81,Decentralized Exchange,JulSwap,julswap,JULD,799383875.3500402
82,,Synth sBCH,sbch,sBCH,
83,DeFi,Transledger,transledger,TRN,
84,Ethereum,Punk,punk,PUNK,0
85,Blockchain Service,Kambria,kambria,KAT,3098854699.998901
86,,Cere Network,cere,CERE,
87,,X-power Chain,xpower,XPO,
88,Data,GXChain,gxchain,GXC,100000000
89,,Eminer,eminer,EM,2100000000
90,Binance,Pledgecamp,pledge-coin,PLG,10000000000
91,Stablecoin,Basis Cash,basis-cash,BAC,54575249.82699095
92,Insurance,inSure DeFi,insure,SURE,88000000000
93,,Simone,simone,SON,99900
94,Stablecoin,Celo Dollar,celo-dollar,CUSD,57241566.21607361
95,Gaming,Game.com,game,GTC,2000000000
96,,EMOGI Network,emogi-network,LOL,21000000000
97,Insurance,Insured Finance,insured-finance,INFI,120000000
98,,12Ships,12ships,TSHP,4980527200
99,Ethereum,PLANET,planet,PLA,5000000000
100,Bitcoin,Lightning Network,lightning-network,LNN,
101,,Tokoin,tokoin,TOKO,1893935377.68
102,,FIBOS,fibos,FO,1075771761.0869
103,,Cryptocean,cryptocean,CRON,19121150.61929778
104,,VideoCoin,videocoin,VID,265000000
105,,MixMarvel,mixmarvel,MIX,10000000000
106,,Sealchain,sealchain,SEAL,1800000000
107,Binance,CryptoBonusMiles,cryptobonusmiles,CBM,5000000000
108,Stablecoin,Paxos Standard,paxos-standard,USDP,945642940.11
109,,VIDY,vidy,VIDY,10000000000
110,Financial,Vodi X,vodi-x,VDX,1397703182.84111
111,,Wavesbet,wavesbet,WBET,59499999948
112,Gaming,Splintershards,splintershards,SPS,969235486.0478675
113,,Yobit Token,yobit,YO,17000
114,DeFi,Rotten,rotten,ROT,124487479.936901
115,,Synth sDEFI,sdefi,sDEFI,862.0891
116,Blockchain Service,QLC Chain,qlink,QLC,600000000
117,Tokenization,DeFi Socks,defisocks,DEFISOCKS,
118,,Amino Network,amino,AMIO,1000000000
119,,Synth sXAG,sxag,sXAG,6463.877
120,,NSS Coin,nss,NSS,100000000
121,,Xaya,xaya,CHI,57605021.95319532
122,,Valobit,valobit,VBIT,1600000000
123,Protocol,Sentinel Protocol,sentinel-protocol,UPP,500000000.00000006
124,,En-Tan-Mo,en-tan-mo,ETM,210000000
125,,Decentralized Vulnerability Platform,decentralized-vulnerability-platform,DVP,5000000000
126,Gaming,Seedify.fund,seedify-fund,SFUND,100000000
127,Protocol,ChatCoin,chatcoin,CHAT,1000000000
128,Cloud Computing,Ankr,ankr,ANKR,10000000000
129,Trading,CNNS,cnns,CNNS,10000000000
130,Investments,Molecular Future,molecular-future,MOF,50000000000
131,Art,Artfinity,artfinity,AT,1000000000
132,Trading,Autonio,autonio,NIOX,315000000
133,Other,SIRIN LABS Token,sirin-labs-token,SRN,572166103.886
134,Other,WHEN Token,when-token,WHEN,875000000
135,Financial,Safe Exchange,safe-exchange-coin,SAFEX,785836169
136,Bitcoin,ZeroNet,zeronet,ZNT,
137,Trading,Spiking,spiking,SPIKE,5000000000
138,Platform,GoPower,gopower,GPT,111227045.9
139,,Locus Chain,locus-chain,LOCUS,7000000000
140,Cloud Storage,Flowchain,flowchain,FLC,1000000000
141,Blockchain Network,Trias,trias,TRY,10000000000
142,Financial,QuickX Protocol,quickx-protocol,QCX,500000000
143,Trading,ChartEx,chartex,CHART,250000000
144,AI,PATHHIVE,phv,PHV,3500000000
145,Financial,BOLT,bolt,BOLT,995000000
146,Binance,PulsePad,pulsepad,PLSPAD,4989493252.178266
147,Exchange,TOKOK,tokok,TOK,998617461.09785
148,Exchange,INMAX,inmax,INX,6500000
149,Cloud Storage,Lambda,lambda,LAMB,6000000000
150,Advertising,Birdchain,birdchain,BIRD,287504829.4830753
151,DeFi,Yearn Finance DOT,yearn-finance-dot,YFDOT,18493.75
152,Media,Contents Protocol,contents-protocol,CPT,10000000000
153,Advertising,AdEx,adx-net,ADX,150000000
154,DeFi,Tribe,tribe,TRIBE,1000000000
155,Other,P2P Global Network,p2p-global-network,P2PX,100000000
156,Ethereum,Paragon,paragon,PRG,164936509.401132
157,Other,Asian Fintech,asian-fintech,AFIN,500000000
158,,Synth sCHF,schf,sCHF,
159,,Synth sADA,sada,sADA,77750.6
160,,Synth sDASH,sdash,sDASH,
161,Blockchain Service,S4FE,s4fe,S4F,1000000000
162,Platform,GMB,gmb,GMB,5000000000
163,DeFi,Zero Collateral,zero-collateral,ZCT,
164,Advertising,Online,online,OIO,2500000000
165,Social,CYCLUB,cyclub,CYCLUB,3300000000
166,Exchange,Bitrue Coin,bitrue-coin,BTR,801307097.3484074
167,AI,Lisk Machine Learning,lisk-machine-learning,LML,400000000
168,Protocol,Xriba,xriba,XRA,254721684.6407728
169,Financial,Almeela ,almeela,KZE,8000000
170,Entertainment,SnapCoin,snapcoin,SNPC,678333334
171,Exchange,Coineal Token,coineal-token,NEAL,10000000000
172,Platform,BUDDY,buddy,BUD,35000000000
173,Cryptocurrency,BuySell,buysell,BULL,5037375.6172
174,Financial,Cryptopay,cryptopay,CPAY,90414745
175,Decentralized Exchange,DIGG,digg,DIGG,6613.10392834
176,,Synth iOIL,ioil,iOIL,
177,Cloud Computing,NKN,nkn,NKN,700000000
178,,Synth sETC,setc,sETC,
179,Other,HashNet BitEco,hashnet-biteco,HNB,1000000000
180,Cloud Storage,StackOs,stackos,STACK,1000000000
181,Financial,EveryCoin,everycoin,EVY,88800000000
182,Platform,IZIChain,izichain,IZI,1250000000
183,Supply,InnovaMinex,innovaminex,MINX,300000000
184,Data,Quadrant Protocol,quadrantprotocol,EQUAD,1000000000
185,Ethereum,SpiderDAO,spiderdao,SPDR,1000000000
186,Other,Q DAO Governance token v1.0,q-dao-governance-token,QDAO,999081.58
187,AI,Fetch,fetch,FET,1151441225.6042874
188,Gaming,MOBOX,mobox,MBOX,389181745
189,Insurance,ARMOR,armor,ARMOR,750000000
190,Exchange,DEX,dex,DEX,1892996914
191,Trading,Hxro,hxro,HXRO,1000000000
192,Social,PTON,pton,PTON,23200000000
193,Financial,Bonpay,bonpay,BON,21745688.3534
194,Financial,SwftCoin,swftcoin,SWFTC,10000000000
195,Platform,Levolution,levolution,LEVL,311000000
196,E-Commerce,IOU,iou,IOUX,800000000
197,Communication Network,SpaceChain,spacechain,SPC,391259212.5116576
198,Transportation,ParkinGo,parkingo,GOT,94808613.2074404
199,Infrastructure,Stacks,blockstack,STX,1352464600
200,Exchange,Fatcoin,fatcoin,FAT,200000000
201,Supply,Hercules,hercules,HERC,177593051.093575
202,Financial,CoinUs,coinus,CNUS,2000000000
203,Platform,Assemble Protocol,assemble-protocol,ASM,1481250000
204,Gaming,Decimated,decimated,DIO,1000000000
205,Other,BOSAGORA,bosagora,BOA,450000000
206,Healthcare,Skychain,skychain,SCH,12360000
207,Social,Shiba Predator,shiba-predator,QOM,599886333333333
208,Platform,FLETA,fleta,FLETA,2000000000
209,Interoperability,EXRNchain,exrnchain,EXRN,100000000000
210,Financial,Internxt,internxt,INXT,1119294
211,Media,Fountain,fountain,FTN,2208919510.99
212,Financial,EurocoinToken,eurocoin-token,ECTE,100000000
213,Data,Carry,carry,CRE,10000000000
214,Financial,AIDUS TOKEN,aidus-token,AID,10000000000
215,Blockchain Network,Shyft Network,shyft-network,SHFT,2520000000
216,Other,IntelliShare,intellishare,INE,986000000
217,Exchange,B2BX,b2bx,B2B,19822337.19958543
218,Healthcare,SOLVE,solve,SOLVE,1000000000
219,Platform,Origo,origo,OGO,681277829.938
220,,Tchain,tchain,TCH,100000000
221,Stablecoin,CryptoFranc,cryptofranc,XCHF,3100000
222,Cryptocurrency,Bitcoin Atom,bitcoin-atom,BCA,21000000
223,Blockchain Network,Solana,solana,SOL,533872038.291265
224,Investments,DuckDaoDime,duckdaodime,DDIM,1472092.49864144
225,Blockchain Service,Evedo,evedo,EVED,17756589.687825
226,Other,DREP,drep,DREP,3431350063.1348667
227,Exchange,TigerCash,tigercash,TCH,1000000000
228,Ethereum,SKALE Network,skale-network,SKL,5447166667
229,Data,COVA,cova,COVA,6500000000
230,Prediction Market,Bodhi,bodhi,BOT,100000000
231,Blockchain Service,FOAM Protocol,foam,FOAM,1000000000
232,Protocol,Dusk Network,dusk-network,DUSK,500000000
233,,Clearpool,clearpool,CPOOL,1000000000
234,,Pendle,pendle,PENDLE,188700000
235,Financial,Turtlecoin,turtlecoin,TRTL,99185627940.81
236,Gaming,Binemon,binemon,BIN,934870751
237,Protocol,Sharder,sharder,SS,350000000
238,Entertainment,The Currency Analytics,the-currency-analytics,TCAT,400000000
239,Ethereum,Upfiring,upfiring,UFR,24000000.00578804
240,Travel,Tratok,tratok,TRAT,100000000000
241,Cloud Computing,Akash Network,akash-network,AKT,162863559.115862
242,Fund,Numeraire,numeraire,NMR,10931079.86367703
243,,Unicly CryptoPunks Collection,unicly-cryptopunks-collection,UPUNK,250000000
244,Binance,DeRace,derace,DERC,120000000
245,,DigitalBits,digitalbits,XDB,1390396338.1718
246,,Gomics,gomics,GOM,75000000
247,Media,IQ,iq,IQ,12070492550.4405
248,Prediction Market,Gnosis,gnosis-gno,GNO,3000000
249,Gaming,Playkey,playkey,PKT,19893267.57518124
250,DeFi,PolkaBridge,polkabridge,PBR,75243096.94110116
251,Cryptocurrency,Wrapped Bitcoin,wrapped-bitcoin,WBTC,235822.40739945
252,Ethereum,MetisDAO,metisdao,METIS,5410000.51
253,Financial,O3Swap,o3swap,O3,43741143.06878021
254,Decentralized Exchange,Lattice Token,lattice-token,LTX,100000000
255,Trading,Coinvest,coinvest,COIN,107142857
256,DeFi,Cherry Swap,cherry-swap,CSW,
257,Bitcoin,Bisq,bisq,BISQ,
258,Other,pEOS,peos,PEOS,1000000000
259,DeFi,Band Protocol,band-protocol,BAND,100000000
260,EOS,Telos,telos,TLOS,355208370.6674
261,Decentralized Exchange,SnowSwap,snowswap,SNOW,500000
262,Gaming,Gods Unchained,gods-unchained,GODS,500000000
263,Blockchain Network,LGCY Network,lgcy-network,LGCY,100000000000
264,Stablecoin,Binance USD [on Ethereum],binance-usd,BUSD,22886897227.109257
265,,Hyper Speed Network,hyper-speed-network,HSN,939999999.99
266,DeFi,Staked,staked,STK,
267,Exchange,KUN,kun,KUN,1000000
268,DeFi,Alpaca Finance,alpaca-finance,ALPACA,144858125.18686786
269,,GYEN,gyen,GYEN,5396921683
270,,Curate,curate,XCUR,50000000
271,Platform,PAID Network,paid-network,PAID,594717455.71
272,Insurance,Tidal Finance,tidal-finance,TIDAL,19838000001
273,Gaming,Wall Street Games,wall-street-games,WSG,969784779736925
274,,Krios,krios,KRI,500000000
275,,Venus Reward Token,venus-reward-token,VRT,30000000000
276,Platform,Avalanche,avalanche,AVAX,404229626.49901325
277,Virtual Reality,CEEK,ceek-vr,CEEK,1000000000
278,Interoperability,BICONOMY,biconomy,BICO,1000000000
279,,TrueFeedBack,truefeedback,TFB,4663481447
280,Tokenization,PAX Gold,pax-gold,PAXG,325209.481
281,DeFi,Abra,abra,ABR,
282,DeFi,MetaMoneyMarket,metamoneymarket,MMM,
283,Travel,Ariva,ariva,ARV,93640000000
284,Platform,Elitium,elitium,EUM,332200000
285,Smart Contracts,Agrello,agrello-delta,DLT,130271020.035721
286,DeFi,AlphaWallet,alphawallet,AWL,
287,DeFi,Ambo,ambo,AMBO,
288,DeFi,Argent,argent,ARG,
289,DeFi,Betoken,betoken,BTK,
290,,LiquidApps,liquid-apps,DAPP,1056939327.1283
291,,OTOCASH,otocash,OTO,38307412.5696
292,,Colletrix,colletrix,CIPX,1838477280
293,Social,Howdoo,howdoo,UDOO,888888888
294,,AmonD,amond,AMON,7176499999
295,Other,Bob’s Repair,bobs-repair,BOB,360000000
296,Other,Business Credit Substitute,business-credit-substitute,BCS,68000000
297,DeFi,Bitpie,bitpie,BTP,
298,Ethereum,ClearPoll,clearpoll,POLL,8999991.9
299,DeFi,BUTTON Wallet,button-wallet,BUTT,
300,DeFi,Cobo Wallet,cobo-wallet,COBO,
301,Financial,Blockzero Labs,blockzerolabs,XIO,100000000
302,,Synth iLINK,ilink,iLINK,
303,,Polis,polis,POLIS,9831890.566954
304,,NFTb,nftb,NFTB,999800000
305,,Sin City Metaverse,sincity-token,SIN,1000000000
306,Other,Blockchain Quotations Index Token,blockchain-quotations-index-token,BQT,1000000000
307,DeFi,Coinbase Wallet,coinbase-wallet,CBW,
308,Ethereum,KEY,key,KEY,100000000000
309,DeFi,Fetch,fetch-wallet,FTW,
310,DeFi,imToken,imtoken,IMT,
311,Financial,Roobee,roobee,ROO,5400000000
312,Decentralized Exchange,SolFarm,solfarm,TULIP,10000000
313,,Synth iTRX,itrx,iTRX,
314,DeFi,DeFi Saver,defi-saver,DFS,
315,DeFi,DexWallet,dexwallet,DWL,
316,Travel,Condominium,condominium,CDM,1607137916.7034
317,,Synth sXMR,sxmr,sXMR,
318,Financial,Solanium,solanium,SLIM,100000000
319,Cryptocurrency,CENTERCOIN,centercoin,CENT,3500002431.62882
320,Data,LemoChain,lemochain,LEMO,1600000000
321,Privacy,Beam,beam,BEAM,127693360
322,Financial,SaluS,salus,SLS,1012265.271484
323,Financial,Solrise Finance,solrise-finance,SLRS,998997524.255116
324,,Synth sETH,seth,sETH,29935.4
325,Data,Tierion,tierion,TNT,1000000000
326,Tokenization,DeHive,dehive,DHV,5614361
327,Cryptocurrency,Rhenium,rhenium,XRH,33891939.4450499
328,Ethereum,Block Array,block-array,ARY,88409932.93
329,,Synth sXRP,sxrp,sXRP,
330,Financial,Alpha Token,alpha-token,A,278273649.09200984
331,,Synth iXRP,ixrp,iXRP,
332,,Synth sEOS,seos,sEOS,
333,,Olyseum,olyseum,OLY,5000000000
334,,Manchester City Fan Token,manchester-city-fan-token,CITY,20000000
335,,Jigstack,jigstack,STAK,3000000000
336,Investments,Blackmoon,blackmoon,BMC,60000000
337,Exchange,Bibox Token,bibox-token,BIX,235972808.27
338,,Synth iADA,iada,iADA,
339,,Synth iCEX,icex,iCEX,
340,,Banano,banano,BAN,1918872102
341,,Synth iDEFI,idefi,iDEFI,
342,,CONTRACOIN,contracoin,CTCN,100000000
343,DeFi,KeeperDAO,keeperdao,ROOK,1226310
344,DeFi,Modefi,modefi,MOD,22000000
345,,Synth iBCH,ibch,iBCH,
346,,ICHI,ichi,ICHI,10000000
347,Platform,B.Protocol,b-protocol,BPRO,2194432
348,Privacy,Sumokoin,sumokoin,SUMO,56111137.19598012
349,Cryptocurrency,Pure,purex,PUREX,20220781.688152
350,,Synth sEUR,seur,sEUR,
351,,Synth iDASH,idash,iDASH,
352,Other,NNB Token,nnb-token,NNB,6000000000
353,Other,NIX,nix,NIX,49238466.326487
354,AI,Invacio,invacio,INV,19424494
355,,BUX Token,bux-token,BUX,76384000
356,,Mirrored Netflix,mirrored-netflix,mNFLX,4153.000684
357,Financial,Spendcoin,spendcoin,SPND,2595786940
358,,Synth sBNB,sbnb,sBNB,
359,Stellar,Smartlands,smartlands,SLT,7186785.07945
360,Cryptocurrency,Bitcoin Cash,bitcoin-cash,BCH,19232843.75
361,DeFi,Manifold Finance,manifold-finance,FOLD,0
362,Cryptocurrency,Bitcoin Cash ABC,bitcoin-cash-abc-2,BCHA,18572921
363,,LABS Group,labs-group,LABS,10000000000
364,Network,Cajutel,cajutel,CAJ,1780000
365,Virtual Reality,VIBE,vibe,VIBE,267000000
366,,Synth iLTC,iltc,iLTC,
367,,Torum,torum,XTM,799190905
368,Interoperability,Lamden,lamden,TAU,248090567
369,,Synth sLTC,sltc,sLTC,
370,,Portugal National Team Fan Token,portugal-national-team-fan-token,POR,20000000
371,,Opacity,opacity,OPCT,130000000
372,Lending,Beta Finance,beta-finance,BETA,1000000000
373,Exchange,DEW,dew,DEW,200000000
374,,Synth sOIL,soil,sOIL,
375,,Synth sXTZ,sxtz,sXTZ,
376,Cryptocurrency,HyperCash,hypercash,HC,45071909.329052
377,Ethereum,Zilla,zilla,ZLA,60000000
378,Financial,MenaPay,menapay,MPAY,400000000
379,Decentralized Exchange,Polkadex,polkadex,PDEX,7460000
380,Prediction Market,SEER,seer,SEER,4100000000
381,Network,MaidSafeCoin,maidsafecoin,MAID,452552412
382,Gambling,CashBet,cashbet-coin,CBC,401647957.75
383,DeFi,Sav3Token,sav3token,SAV3,26734226
384,Cryptocurrency,Unobtanium,unobtanium,UNO,203328.411519
385,Protocol,Bytom,bytom,BTM,1775840381.2
386,,Synth iBTC,ibtc-synthetix,iBTC,504.91243286
387,Blockchain Service,Cloudbric,cloudbric,CLBK,0
388,Interoperability,Ink,ink,INK,1000000000
389,Platform,Komodo,komodo,KMD,131586722.03409
390,IoT,Blockcloud,blockcloud,IOT,10000000000
391,,Synth iETH,ieth,iETH,33199.81990523
392,Insurance,Insureum,insureum,ISR,0
393,Neo,Zeepin,zeepin,ZPT,1000000000
394,,Synth iEOS,ieos,iEOS,
395,,Synth sAUD,saud,sAUD,
396,Financial,Zippie,zippie,ZIPT,1000000000
397,Cryptocurrency,Decred,decred,DCR,14185885.35481751
398,,Synth iETC,ietc,iETC,
399,Investments,Intelligent Investment Chain,intelligent-investment-chain,IIC,21000000000
400,,FREE Coin,free-coin,FREE,10000000000000
401,Binance,RedFOX Labs,redfox-labs,RFOX,2000000000
402,,Synth iXMR,ixmr,iXMR,
403,Exchange,International Crypto X,internationalcryptox,INCX,599999990
404,Travel,Quasarcoin,quasarcoin,QAC,263449705.26
405,Healthcare,MediBloc,medibloc,MED,8292596630
406,,Synth iXTZ,ixtz,iXTZ,
407,Cloud Computing,Internet Computer,internet-computer,ICP,488508776.41603994
408,Binance,Opulous,opulous,OPUL,500000000
409,Financial,TenX,tenx,PAY,205218255.94857776
410,,Elite,1337coin,1337,29381014024.1221
411,Investments,SPINDLE,spindle,SPD,10000000000
412,Social,ONOToken,onotoken,ONOT,75000000000
413,,Synth iBNB,ibnb,iBNB,
414,,Bifrost (BNC),bifrost-bnc,BNC,80000000
415,Ethereum,Dogs Of Elon,dogs-of-elon,DOE,940000000
416,Financial,BeeKan,beekan,BKBT,10000000000
417,Neo,Gas,gas,GAS,17190378
418,Cryptocurrency,Emercoin,emercoin,EMC,48524899.663627
419,Platform,COPYTRACK,copytrack,CPY,52999378
420,Platform,Burst,burst,BURST,2120642444
421,,Synth sTRX,strx,sTRX,
422,Ethereum,Dignity,dignity,DIG,3000000000
423,Protocol,Odyssey,odyssey,OCN,10000000000
424,Binance,Berry Data,berry-data,BRY,7500000
425,Exchange,Themis,themis,GET,1000000000
426,Other,CanonChain,cononchain,CZR,1618033988
427,Verification,Experience Token,experience-token,EXT,10000000000
428,Smart Contracts,Ether Zero,ether-zero,ETZ,228469282.9
429,Blockchain Service,Namecoin,namecoin,NMC,14736400
430,,Mirrored Microsoft,mirrored-microsoft,mMSFT,2728.957381
431,Fund,Invictus Hyperion Fund,invictus-hyperion-fund,IHF,115465568.37822245
432,Gaming,REVV,revv,REVV,3000000000
433,Fund,PEAKDEFI,peakdefi,PEAK,2226359970.95642
434,,Only1,only1,LIKE,500000000
435,IoT,HDAC,hdac,DAC,2147063497
436,Platform,Primas,primas,PST,101342465.753
437,Binance,GameFi,gamefi,GAFI,14954970
438,Jobs,VikkyToken,vikkytoken,VIKKY,12000000000
439,Cryptocurrency,MonaCoin,monacoin,MONA,65729674.871168
440,Blockchain Network,DACC,dacc,DACC,30000000000
441,Financial,Paytomat,paytomat,PTI,3600000000
442,Blockchain Service,Time New Bank,time-new-bank,TNB,4413848444.218691
443,Transportation,ShipChain,shipchain,SHIP,500000000
444,AI,Effect.AI,effect-ai,EFX,650000000
445,Interoperability,Zipper,zip,ZIP,100000000000
446,Sports,Esports Token,esports-token,EST,1000000000
447,Financial,Everus,everus,EVR,1000000000
448,,Venus XVS,venus-xvs,vXVS,224433925
449,Blockchain Network,Zen Protocol,zen-protocol,ZP,26631450
450,Blockchain Service,Yuan Chain Coin,yuan-chain-coin,YCC,10000000000
451,Marketplace,MediShares,medishares,MDS,2000000000
452,,Venus USDC,venus-usdc,vUSDC,4771015133
453,DeFi,MoonSwap,moonswap,MOON,34914717.40437041
454,Exchange,Mothership,mothership,MSP,200000000
455,Gaming,Step Hero,step-hero,HERO,
456,Gambling,Wagerr,wagerr,WGR,248034731.30686644
457,E-Commerce,Connect Coin,connect-coin,XCON,70000000
458,Platform,StockChain,stockchain,SCC,10000000000
459,Financial,OWL Token (StealthSwap),owl-token-stealthswap,OWL,10000000
460,Smart Contracts,TomoChain,tomochain,TOMO,100000000
461,Media,Scorum,scorum-coins,SCR,29265074.799
462,Marketing,qiibee,qiibee,QBX,1380392157
463,DeFi,reflect.finance,reflect-finance,RFI,9436560.60002008
464,Marketplace,EUNOMIA,eunomia,ENTS,19973330191.3784
465,Cryptocurrency,Jiyo,jiyo,JIYOX,19171174.0990736
466,Financial,Moeda Loyalty Points,moeda-loyalty-points,MDA,19628888
467,Financial,Request,request,REQ,999877117
468,Platform,Sun (New),sun-token,SUN,19900730000
469,Masternodes,Divi,divi,DIVI,3072008788.727195
470,Entertainment,Content Value Network,content-value-network,CVNT,1000000000
471,Smart Contracts,Hurify,hurify,HUR,273325000
472,Cryptocurrency,FairCoin,faircoin,FAIR,53193831.469966
473,Cryptocurrency,DigitalNote,digitalnote,XDN,8074043323.164733
474,Cryptocurrency,Bitcore,bitcore,BTX,18617494.848048
475,Cryptocurrency,Safe,safe,SAFE,29600000
476,Cryptocurrency,Primecoin,primecoin,XPM,42966651.97027372
477,Blockchain Network,Aeternity,aeternity,AE,396262883.69932
478,Ethereum,Snetwork,snetwork,SNET,1000000000
479,Financial,Klever,klever,KLV,10000000000
480,Gambling,BlitzPredict,blitzpredict,XBP,950873123.2766
481,Ethereum,Hermez Network,hermez-network,HEZ,100000000
482,Decentralized Exchange,Sashimi,sashimi,SASHIMI,2303603
483,Stablecoin,Steem Dollars,steem-dollars,SBD,11762076.559
484,DeFi,Maple,maple,MPL,10000000
485,Blockchain Service,Eligma,eligma-token,ELI,327902034
486,Ethereum,ValueChain,valuechain,VLC,300000000
487,Exchange,Graviocoin,graviocoin,GIO,293438521.758814
488,Cryptocurrency,Stealth,stealth,XST,39630018.57645603
489,Cryptocurrency,Bitsum,bitsum,BSM,1844674407
490,,SHIELD,shield-xsh,XSH,512973375.234463
491,Social,Pivot Token,pivot-token,PVT,31415926535
492,Verification,KILT Protocol,kiltprotocol,KILT,151251450
493,Binance,ADAPad,adapad,ADAPAD,117642373.1
494,Ethereum,Fantom,fantom,FTM,2545006273
495,Cryptocurrency,MinexCoin,minexcoin,MNX,6597237.5
496,Financial,TokenPay,tokenpay,TPAY,22076270.82026039
497,Verification,Faceter,faceter,FACE,936154235
498,Platform,VITE,vite,VITE,1033573236.6751214
499,Binance,vEmpire DDAO,vempire-ddao,VEMP,810720000
500,Cryptocurrency,Litecoin Cash,litecoin-cash,LCC,770538231.2084944
501,Cryptocurrency,Pura,pura,PURA,183205630.159698
502,Mining,EvenCoin,evencoin,EVN,31247851.344495
503,Platform,Bee Token,bee-token,BEE,500000000
504,Blockchain Service,Nebulas,nebulas-token,NAS,78907517.30540001
505,Blockchain Network,GoChain,gochain,GO,1199175865
